번호,제목,첨부,부서명,작성일
2278,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건 안내 ('24.12.31.마감),,유럽경제외교과,2024-11-20
2277,"[스리랑카] 스리랑카 교통, 도로, 항만, 민간비행부 입찰정보 안내(24.12.27 마감)",,유럽경제외교과,2024-11-20
2276,[스리랑카] 스리랑카 국영제약사 입찰정보 안내,,유럽경제외교과,2024-11-20
2275,[중국] 입찰정보(2024. 11월 1차),,유럽경제외교과,2024-11-20
2274,[조지아] 조지아 경제지속가능개발부 산하 국영 석유가스 기관 발표 국제 경쟁 입찰 정보 안내,,유럽경제외교과,2024-11-20
2273,[홍콩] 입찰정보(2024-46),,유럽경제외교과,2024-11-19
2272,[케냐] 입찰정보(2024-36),,유럽경제외교과,2024-11-19
2271,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건 안내 ('24.12.24.마감),,유럽경제외교과,2024-11-13
2270,[스리랑카] 스리랑카 국영제약사 입찰정보 안내 ('24.12.16.마감),,유럽경제외교과,2024-11-13
2269,[덴마크] 입찰정보 2024-22,,유럽경제외교과,2024-11-13
2268,[케냐] 입찰정보(2024-35),,유럽경제외교과,2024-11-12
2267,[코스타리카] 수도권(GAM) 및 교외 수자원 펌핑 스테이션 개선을 위한 컨설팅 사업 입찰 공고,,유럽경제외교과,2024-11-12
2266,[홍콩] 입찰정보(2024-45),,유럽경제외교과,2024-11-11
2265,[코스타리카] 코스타리카 Caldera항 인프라 및 기자재 현대화 사업 입찰 공고,,유럽경제외교과,2024-11-07
2264,[아제르바이잔] 입찰정보('24.10.28.~11.03.),,유럽경제외교과,2024-11-05
2263,[아제르바이잔] 입찰정보('24.10.21.~27.),,유럽경제외교과,2024-11-05
2262,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 9건 안내 ('24.12.10.마감),,유럽경제외교과,2024-11-05
2261,[스리랑카] 스리랑카 국영제약사 입찰정보 14건 안내 ('24.11.26.마감),,유럽경제외교과,2024-11-05
2260,[스리랑카] 스리랑카 국방부(공군) 입찰 정보 안내 ('24.11.26.마감),,유럽경제외교과,2024-11-05
2259,[홍콩] 입찰정보(2024-44),,유럽경제외교과,2024-11-04
2258,[홍콩] 입찰정보(2024-43),,유럽경제외교과,2024-10-29
2257,[스리랑카] 스리랑카 국방부(헬리콥터 부속품) 입찰 정보('24.12.02.마감) 안내,,유럽경제외교과,2024-10-28
2256,[스리랑카] 스리랑카 국영기업 실론 석유저장 터미널 공사 입찰 정보('24.12.05.마감) 안내,,유럽경제외교과,2024-10-28
2255,[코스타리카] 코스타리카 Puntarenas 지역 교량 설계 및 건설사업 입찰 공고,,유럽경제외교과,2024-10-28
2254,[스리랑카] 스리랑카 국영제약사 입찰정보 6건('24.11.24.마감) 안내,,유럽경제외교과,2024-10-25
2253,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건('24.12.3.마감) 안내,,유럽경제외교과,2024-10-25
2252,[아제르바이잔] 입찰정보('24.10.14.~20.),,유럽경제외교과,2024-10-23
2251,[아제르바이잔] 입찰정보('24.10.07.~13.),,유럽경제외교과,2024-10-23
2250,[아제르바이잔] 입찰정보('24.09.30.~10.06.),,유럽경제외교과,2024-10-23
2249,[아제르바이잔] 입찰정보('24.09.23.~29.),,유럽경제외교과,2024-10-23
2248,[홍콩] 입찰정보(2024-42),,유럽경제외교과,2024-10-23
2247,[중국] 입찰정보(2024. 10월 1차),,유럽경제외교과,2024-10-21
2246,[홍콩] 입찰정보(2024-41),,유럽경제외교과,2024-10-15
2245,[케냐] 입찰정보(2024-34),,유럽경제외교과,2024-10-10
2244,[홍콩] 입찰정보(2024-40),,유럽경제외교과,2024-10-08
2243,[몽골] 몽골 울란바트라 대용량 대중교통 메트로 건설 입찰 공고,,유럽경제외교과,2024-10-04
