번호,제목,첨부,부서명,작성일
2282,[아제르바이잔] 입찰정보('24.11.18.~24.),,유럽경제외교과,2024-11-27
2281,[아제르바이잔] 입찰정보('24.11.04.~17.),,유럽경제외교과,2024-11-27
2280,[홍콩] 입찰정보(2024-47),,유럽경제외교과,2024-11-27
2279,[케냐] 입찰정보(2024-36),,유럽경제외교과,2024-11-27
2278,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건 안내 ('24.12.31.마감),,유럽경제외교과,2024-11-20
2277,"[스리랑카] 스리랑카 교통, 도로, 항만, 민간비행부 입찰정보 안내(24.12.27 마감)",,유럽경제외교과,2024-11-20
2276,[스리랑카] 스리랑카 국영제약사 입찰정보 안내,,유럽경제외교과,2024-11-20
2275,[중국] 입찰정보(2024. 11월 1차),,유럽경제외교과,2024-11-20
2274,[조지아] 조지아 경제지속가능개발부 산하 국영 석유가스 기관 발표 국제 경쟁 입찰 정보 안내,,유럽경제외교과,2024-11-20
2273,[홍콩] 입찰정보(2024-46),,유럽경제외교과,2024-11-19
2272,[케냐] 입찰정보(2024-36),,유럽경제외교과,2024-11-19
2271,[스리랑카] 스리랑카 항공 주관의 케이터링 입찰공고 2건 안내 ('24.12.24.마감),,유럽경제외교과,2024-11-13
2270,[스리랑카] 스리랑카 국영제약사 입찰정보 안내 ('24.12.16.마감),,유럽경제외교과,2024-11-13
2269,[덴마크] 입찰정보 2024-22,,유럽경제외교과,2024-11-13
2268,[케냐] 입찰정보(2024-35),,유럽경제외교과,2024-11-12
2267,[코스타리카] 수도권(GAM) 및 교외 수자원 펌핑 스테이션 개선을 위한 컨설팅 사업 입찰 공고,,유럽경제외교과,2024-11-12
2266,[홍콩] 입찰정보(2024-45),,유럽경제외교과,2024-11-11
2265,[코스타리카] 코스타리카 Caldera항 인프라 및 기자재 현대화 사업 입찰 공고,,유럽경제외교과,2024-11-07
2264,[아제르바이잔] 입찰정보('24.10.28.~11.03.),,유럽경제외교과,2024-11-05
2263,[아제르바이잔] 입찰정보('24.10.21.~27.),,유럽경제외교과,2024-11-05
